date,NFLX,IBM,GE,GOOG,AAPL,KO,AMZN,HD,NKE,^DJI,WMT
2018-06-13,37.993,98.7421,63.0559,56.2071,44.8932,34.2782,85.243,163.2571,65.5479,25201.1992,24.8072
2018-06-14,39.287,97.9662,61.921,57.0655,44.9167,34.1138,86.193,162.7355,66.0698,25175.3105,24.7187
2018-06-15,39.198,98.0944,60.9134,57.0724,44.4553,34.5365,85.7985,163.4446,67.0781,25090.4805,24.6922
2018-06-18,39.04,97.4804,60.4554,58.1225,44.4318,34.0903,86.1895,163.5669,66.8747,24987.4707,24.4857
2018-06-19,40.498,97.0891,59.3104,57.855,43.7138,34.1295,86.739,162.3606,65.6806,24700.2109,24.6656
2018-06-20,41.676,96.2322,58.9898,57.9432,43.9045,33.8633,87.504,162.2547,66.0875,24657.8008,24.6656
2018-06-21,41.544,95.3012,58.4402,57.3399,43.6596,33.7303,86.511,163.2571,65.3976,24461.6992,24.8426
2018-06-22,41.109,95.3214,59.7684,57.2319,43.5325,33.8555,85.7835,160.8936,64.9465,24580.8906,25.0226
2018-06-25,38.448,93.6414,58.3944,55.7128,42.8851,34.1138,83.1575,160.0541,63.9913,24252.8008,25.5093
2018-06-26,39.939,93.8371,62.9286,55.3983,43.4172,33.9181,84.5545,160.0378,64.177,24283.1094,25.3648
2018-06-27,39.039,92.7575,63.9361,54.6811,43.3536,33.7146,83.0255,158.9457,63.1068,24117.5898,25.6332
2018-06-28,39.542,94.4848,63.3408,55.1883,43.669,34.0277,85.0725,159.1005,63.4164,24216.0508,25.3294
2018-06-29,39.143,94.2554,62.3332,55.2591,43.5772,34.333,84.99,159.0109,70.4744,24271.4102,25.2674
2018-07-02,39.818,94.3633,61.234,55.8441,44.0645,34.2469,85.689,158.1306,69.2981,24307.1797,24.7807
2018-07-03,39.052,94.1677,61.234,54.6271,43.2971,34.4348,84.698,157.8046,67.4672,24174.8203,24.9105
2018-07-05,39.839,95.4226,61.5088,55.6861,43.6455,34.9592,84.9865,158.4485,67.706,24356.7402,24.9488
2018-07-06,40.825,96.131,63.4324,56.4736,44.2505,34.9436,85.5315,158.5056,67.6441,24456.4805,24.9311
2018-07-09,41.897,97.4197,63.8904,57.1611,44.865,34.7557,86.951,159.8096,68.3517,24776.5898,25.35
2018-07-10,41.563,97.6356,64.8979,57.1012,44.8108,35.2019,87.1535,161.0566,68.6082,24919.6602,25.7276
2018-07-11,41.865,97.7908,64.0735,57.1537,44.2293,35.061,87.75,160.5187,68.4225,24700.4492,25.527
2018-07-12,41.35,98.8096,64.0735,58.6188,44.9709,34.9671,89.831,161.3336,68.4313,24924.8906,25.5241
2018-07-13,39.58,98.4385,63.6155,58.8833,45.0415,35.0219,90.6515,161.9368,68.4402,25019.4102,25.8722
2018-07-16,40.048,98.1416,63.6614,58.6376,44.9426,35.014,91.1245,162.0917,68.7674,25064.3594,25.8545
2018-07-17,37.948,96.8125,62.6996,59.3776,45.0698,35.4211,92.1965,163.901,68.5198,25119.8906,26.0167
2018-07-18,37.513,97.5074,62.9744,59.233,44.8226,35.3193,92.146,163.7951,67.7414,25199.2891,25.9814
2018-07-19,36.423,100.692,62.8828,58.7911,45.171,35.3115,90.6485,165.148,68.0598,25064.5,25.8781
